days,rat_day,rat,line,n,day,ratname,file,startA,endA,startB,endB,SWD,eeg,emg
1,CDKL5_1959-BL1,1959,CDKL5,1,BL1,CDKL5_1959,TAINI_1045_D_CDKL5_1959_Redo_Try2-2020_12_14-0000.dat,13837105,35471664,0,0,0,0,0
2,CDKL5_1959-BL2,1959,CDKL5,1,BL2,CDKL5_1959,TAINI_1045_D_CDKL5_1959_Redo_Try2-2020_12_14-0000.dat,35471665,57106224,0,0,0,0,0
3,CDKL5_1960-BL1,1960,CDKL5,2,BL1,CDKL5_1960,TAINI_1047_B_CDKL5_1960_Redo-2020_12_10-0000.dat,17082289,38716848,0,0,0,0,0
4,CDKL5_1960-BL2,1960,CDKL5,2,BL2,CDKL5_1960,TAINI_1047_B_CDKL5_1960_Redo-2020_12_10-0000.dat,38716849,60351408,0,0,0,0,0
5,CDKL5_1960-BL3,1960,CDKL5,2,BL3,CDKL5_1960,TAINI_1047_B_CDKL5_1960_Redo-2020_12_10-0000.dat,60351409,81985968,0,0,0,0,0
6,CDKL5_1962-BL1,1962,CDKL5,3,BL1,CDKL5_1962,TAINI_1048_A_CDKL5_1962_Redo-2020_12_10-0000.dat,17082289,38716848,0,0,0,0,0
7,CDKL5_1962-BL2,1962,CDKL5,3,BL2,CDKL5_1962,TAINI_1048_A_CDKL5_1962_Redo-2020_12_10-0000.dat,38716849,60351408,0,0,0,0,0
8,CDKL5_1962-BL3,1962,CDKL5,3,BL3,CDKL5_1962,TAINI_1048_A_CDKL5_1962_Redo-2020_12_10-0000.dat,60351409,81985968,0,0,0,0,0
9,CDKL5_1965-BL1,1965,CDKL5,4,BL1,CDKL5_1965,TAINI_1044_C_CDKL5_1965_Redo-2020_12_10-0000.dat,17082289,38716848,0,0,0,0,0
10,CDKL5_1965-BL2,1965,CDKL5,4,BL2,CDKL5_1965,TAINI_1044_C_CDKL5_1965_Redo-2020_12_10-0000.dat,38716849,60351408,0,0,0,0,0
11,CDKL5_1965-BL3,1965,CDKL5,4,BL3,CDKL5_1965,TAINI_1044_C_CDKL5_1965_Redo-2020_12_10-0000.dat,60351409,81985968,0,0,0,0,0
12,CDKL5_1966-BL1,1966,CDKL5,5,BL1,CDKL5_1966,TAINI_1045_D_CDKL5_1966_Redo-2020_12_10-0000.dat,17082289,38716848,0,0,0,0,0
13,CDKL5_1966-BL2,1966,CDKL5,5,BL2,CDKL5_1966,TAINI_1045_D_CDKL5_1966_Redo-2020_12_10-0000.dat,38716849,60351408,0,0,0,0,0
14,CDKL5_1966-BL3,1966,CDKL5,5,BL3,CDKL5_1966,TAINI_1045_D_CDKL5_1966_Redo-2020_12_10-0000.dat,60351409,81985968,0,0,0,0,0
15,CDKL5_1967-BL1,1967,CDKL5,6,BL1,CDKL5_1967,TAINI_1048_A_CDKL5_1967_Attempt2-2020_12_05-0000.dat,15970513,37605072,0,0,0,0,0
16,CDKL5_1967-BL2,1967,CDKL5,6,BL2,CDKL5_1967,TAINI_1048_A_CDKL5_1967_Attempt2-2020_12_05-0000.dat,37605073,59239632,0,0,0,0,0
17,CDKL5_1967-BL3,1967,CDKL5,6,BL3,CDKL5_1967,TAINI_1048_A_CDKL5_1967_Attempt2-2020_12_05-0000.dat,59239633,80874192,0,0,0,0,0
18,CDKL5_1968-BL1,1968,CDKL5,7,BL1,CDKL5_1968,TAINI_1045_D_CDKL5_1968_Attempt2-2020_12_05-0000.dat,15970513,37605072,0,0,0,0,0
19,CDKL5_1968-BL2,1968,CDKL5,7,BL2,CDKL5_1968,TAINI_1045_D_CDKL5_1968_Attempt2-2020_12_05-0000.dat,37605073,59239632,0,0,0,0,0
20,CDKL5_1968-BL3,1968,CDKL5,7,BL3,CDKL5_1968,TAINI_1045_D_CDKL5_1968_Attempt2-2020_12_05-0000.dat,59239633,80874192,0,0,0,0,0
21,CDKL5_1969-BL1,1969,CDKL5,8,BL1,CDKL5_1969,TAINI_1044_C_CDKL5_1969_Attempt2-2020_12_05-0000.dat,15970513,37605072,0,0,0,0,0
22,CDKL5_1969-BL2,1969,CDKL5,8,BL2,CDKL5_1969,TAINI_1044_C_CDKL5_1969_Attempt2-2020_12_05-0000.dat,37605073,59239632,0,0,0,0,0
23,CDKL5_1969-BL3,1969,CDKL5,8,BL3,CDKL5_1969,TAINI_1044_C_CDKL5_1969_Attempt2-2020_12_05-0000.dat,59239633,80874192,0,0,0,0,0
24,CDKL5_1970-BL1,1970,CDKL5,9,BL1,CDKL5_1970,TAINI_1047_B_CDKL5_1970_Attempt2-2020_12_05-0000.dat,15970513,37605072,0,0,0,0,0
25,CDKL5_1970-BL2,1970,CDKL5,9,BL2,CDKL5_1970,TAINI_1047_B_CDKL5_1970_Attempt2-2020_12_05-0000.dat,37605073,59239632,0,0,0,0,0
26,CDKL5_1970-BL3,1970,CDKL5,9,BL3,CDKL5_1970,TAINI_1047_B_CDKL5_1970_Attempt2-2020_12_05-0000.dat,59239633,80874192,0,0,0,0,0
27,CDKL5_2024-BL1,2024,CDKL5,10,BL1,CDKL5_2024,TAINI_1048_A_CDKL5_2024-2021_02_13-0000.dat,18359329,39993888,0,0,0,0,0
28,CDKL5_2024-BL2,2024,CDKL5,10,BL2,CDKL5_2024,TAINI_1048_A_CDKL5_2024-2021_02_13-0000.dat,39993889,61628448,0,0,0,0,0
29,CDKL5_2024-BL3,2024,CDKL5,10,BL3,CDKL5_2024,TAINI_1048_A_CDKL5_2024-2021_02_13-0000.dat,61628449,67067386,2163207,18358828,0,0,0
30,CDKL5_2025-BL1,2025,CDKL5,11,BL1,CDKL5_2025,TAINI_1047_B_CDKL5_2025-2021_02_13-0000.dat,18359329,39993888,0,0,0,0,0
31,CDKL5_2025-BL2,2025,CDKL5,11,BL2,CDKL5_2025,TAINI_1047_B_CDKL5_2025-2021_02_13-0000.dat,39993889,61628448,0,0,0,0,0
32,CDKL5_2025-BL3,2025,CDKL5,11,BL3,CDKL5_2025,TAINI_1047_B_CDKL5_2025-2021_02_13-0000.dat,61628449,67067386,2163207,18358828,0,0,0
33,CDKL5_2026-BL1,2026,CDKL5,12,BL1,CDKL5_2026,TAINI_1044_C_CDKL5_2026-2021_02_13-0000.dat,18359329,39993888,0,0,0,0,0
34,CDKL5_2026-BL2,2026,CDKL5,12,BL2,CDKL5_2026,TAINI_1044_C_CDKL5_2026-2021_02_13-0000.dat,39993889,61628448,0,0,0,0,0
35,CDKL5_2026-BL3,2026,CDKL5,12,BL3,CDKL5_2026,TAINI_1044_C_CDKL5_2026-2021_02_13-0000.dat,61628449,67067386,2163207,18358828,0,0,0
36,CDKL5_2027-BL1,2027,CDKL5,13,BL1,CDKL5_2027,TAINI_1048_A_CDKL5_2027-2021_02_09-0000.dat,12695281,34329840,0,0,0,0,0
37,CDKL5_2027-BL2,2027,CDKL5,13,BL2,CDKL5_2027,TAINI_1048_A_CDKL5_2027-2021_02_09-0000.dat,34329841,55964400,0,0,0,0,0
38,CDKL5_2027-BL3,2027,CDKL5,13,BL3,CDKL5_2027,TAINI_1048_A_CDKL5_2027-2021_02_09-0000.dat,55964401,77598960,0,0,0,0,0
39,CDKL5_2028-BL1,2028,CDKL5,14,BL1,CDKL5_2028,TAINI_1047_B_CDKL5_2028-2021_02_09-0000.dat,12695281,34329840,0,0,0,0,0
40,CDKL5_2028-BL2,2028,CDKL5,14,BL2,CDKL5_2028,TAINI_1047_B_CDKL5_2028-2021_02_09-0000.dat,34329841,55964400,0,0,0,0,0
41,CDKL5_2028-BL3,2028,CDKL5,14,BL3,CDKL5_2028,TAINI_1047_B_CDKL5_2028-2021_02_09-0000.dat,55964401,77598960,0,0,0,0,0
42,CDKL5_2088-BL1,2088,CDKL5,15,BL1,CDKL5_2088,TAINI_1048_A_CDKL5_2088_BaselineRedone-2021_02_24-0000.dat,15805249,37439808,0,0,0,0,0
43,CDKL5_2088-BL2,2088,CDKL5,15,BL2,CDKL5_2088,TAINI_1048_A_CDKL5_2088_BaselineRedone-2021_02_24-0000.dat,37439809,59074368,0,0,0,0,0
44,CDKL5_2088-BL3,2088,CDKL5,15,BL3,CDKL5_2088,TAINI_1048_A_CDKL5_2088_BaselineRedone-2021_02_24-0000.dat,59074369,80708928,0,0,0,0,0
45,CDKL5_2089-BL1,2089,CDKL5,16,BL1,CDKL5_2089,TAINI_1047_B_CDKL5_2089_BaselineRedone-2021_02_24-0000.dat,15805249,37439808,0,0,0,0,0
46,CDKL5_2089-BL2,2089,CDKL5,16,BL2,CDKL5_2089,TAINI_1047_B_CDKL5_2089_BaselineRedone-2021_02_24-0000.dat,37439809,59074368,0,0,0,0,0
47,CDKL5_2089-BL3,2089,CDKL5,16,BL3,CDKL5_2089,TAINI_1047_B_CDKL5_2089_BaselineRedone-2021_02_24-0000.dat,59074369,80708928,0,0,0,0,0
48,CDKL5_2100-BL1,2100,CDKL5,17,BL1,CDKL5_2100,TAINI_1047_B_CDKL5_2100_3DayBaseline-2021_03_01-0000.dat,15940465,37575024,0,0,0,0,0
49,CDKL5_2100-BL2,2100,CDKL5,17,BL2,CDKL5_2100,TAINI_1047_B_CDKL5_2100_3DayBaseline-2021_03_01-0000.dat,37575025,59209584,0,0,0,0,0
50,CDKL5_2100-BL3,2100,CDKL5,17,BL3,CDKL5_2100,TAINI_1047_B_CDKL5_2100_3DayBaseline-2021_03_01-0000.dat,59209585,65534938,3049623,18358828,0,0,0
51,CDKL5_2101-BL1,2101,CDKL5,18,BL1,CDKL5_2101,TAINI_1044_C_CDKL5_2101_3DayBaseline-2021_03_01-0000.dat,15940465,37575024,0,0,0,0,0
52,CDKL5_2101-BL2,2101,CDKL5,18,BL2,CDKL5_2101,TAINI_1044_C_CDKL5_2101_3DayBaseline-2021_03_01-0000.dat,37575025,59209584,0,0,0,0,0
53,CDKL5_2101-BL3,2101,CDKL5,18,BL3,CDKL5_2101,TAINI_1044_C_CDKL5_2101_3DayBaseline-2021_03_01-0000.dat,59209585,65534938,3049623,18358828,0,0,0
54,CDKL5_2102-BL1,2102,CDKL5,19,BL1,CDKL5_2102,TAINI_1045_D_CDKL5_2102_3DayBaseline-2021_03_01-0000.dat,15940465,37575024,0,0,0,0,0
55,CDKL5_2102-BL2,2102,CDKL5,19,BL2,CDKL5_2102,TAINI_1045_D_CDKL5_2102_3DayBaseline-2021_03_01-0000.dat,37575025,59209584,0,0,0,0,0
56,CDKL5_2102-BL3,2102,CDKL5,19,BL3,CDKL5_2102,TAINI_1045_D_CDKL5_2102_3DayBaseline-2021_03_01-0000.dat,59209585,65534938,3049623,18358828,0,0,0
57,CDKL5_2103-BL1,2103,CDKL5,20,BL1,CDKL5_2103,TAINI_1048_A_CDKL5_2103_3DayBaseline-2021_03_01-0000.dat,15940465,37575024,0,0,0,0,0
58,CDKL5_2103-BL2,2103,CDKL5,20,BL2,CDKL5_2103,TAINI_1048_A_CDKL5_2103_3DayBaseline-2021_03_01-0000.dat,37575025,59209584,0,0,0,0,0
59,CDKL5_2103-BL3,2103,CDKL5,20,BL3,CDKL5_2103,TAINI_1048_A_CDKL5_2103_3DayBaseline-2021_03_01-0000.dat,59209585,65534938,3049623,18358828,0,0,0
60,CDKL5_2104-BL1,2104,CDKL5,21,BL1,CDKL5_2104,TAINI_1048_A_CDKL5_2104_Baseline-2021_03_12-0000.dat,14828689,36463248,0,0,0,0,0
61,CDKL5_2104-BL2,2104,CDKL5,21,BL2,CDKL5_2104,TAINI_1048_A_CDKL5_2104_Baseline-2021_03_12-0000.dat,36463249,58097808,0,0,0,0,0
62,CDKL5_2104-BL3,2104,CDKL5,21,BL3,CDKL5_2104,TAINI_1048_A_CDKL5_2104_Baseline-2021_03_12-0000.dat,58097809,64949002,3575463,18358828,0,0,0
63,CDKL5_2105-BL1,2105,CDKL5,22,BL1,CDKL5_2105,TAINI_1047_B_CDKL5_2105_Baseline-2021_03_12-0000.dat,14828689,36463248,0,0,0,0,0
64,CDKL5_2105-BL2,2105,CDKL5,22,BL2,CDKL5_2105,TAINI_1047_B_CDKL5_2105_Baseline-2021_03_12-0000.dat,36463249,58097808,0,0,0,0,0
65,CDKL5_2105-BL3,2105,CDKL5,22,BL3,CDKL5_2105,TAINI_1047_B_CDKL5_2105_Baseline-2021_03_12-0000.dat,58097809,64949002,3575463,18358828,0,0,0
